Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
973	NCT03875638	Treating Hyperexcitability in AD With Levetiracetam	LeAD	Recruiting	No Results Available	Alzheimer Dementia|Alzheimer Disease|Dementia of Alzheimer Type|Mild Cognitive Impairment	Drug: Levetiracetam|Drug: Placebo oral capsule	Neuropsychological Test Battery (NTB)|Transcranial magnetic stimulation (TMS) resting motor threshold|Transcranial magnetic stimulation (TMS)-evoked electroencephalogram (EEG) hypersynchrony|Resting-state electroencephalogram (EEG) beta band power|Resting-state electroencephalogram (EEG) beta band connectivity|Default-mode network resting-state functional magnetic resonance imaging (fMRI) functional connectivity|Change in motor evoked potential (MEP) amplitude|Change in beta power after theta-burst stimulation	Beth Israel Deaconess Medical Center	All	50 Years to 90 Years   (Adult, Older Adult)	Phase 2	85	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	2019P000091	August 22, 2019	August 2023	November 2023	March 15, 2019		November 10, 2021	Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT03875638
974	NCT03847038	BarcelonaBeta Dementia Prevention Research Clinic: a Study on Risk Factors Disclosure		Active, not recruiting	No Results Available	Alzheimer Disease|Dementia|Mild Cognitive Impairment|Subjective Cognitive Decline	Procedure: Preventive strategies advice and dementia risk estimate disclosure	Risk/benefit of disclosing dementia risk with a PERSONALISED and INDIVIDUALISED approach	Barcelonabeta Brain Research Center, Pasqual Maragall Foundation	All	60 Years to 80 Years   (Adult, Older Adult)	Not Applicable	306	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	BBRC-DemPrev-2018	July 16, 2018	February 3, 2022	December 31, 2022	February 20, 2019		April 21, 2022	Barcelonabeta Brain Research Center, Barcelona, Please Choose A State, Spain		https://ClinicalTrials.gov/show/NCT03847038
975	NCT05094817	Feasibility of an Online, Self-administered Cognitive Screening Tool in Older Patients Undergoing Ambulatory Surgery	FOCUS	Recruiting	No Results Available	Delirium in Old Age|Alzheimer Disease|Mild Cognitive Impairment|Neurocognitive Disorders	Other: Brain Health Assessment|Other: Demographics questionnaire|Other: PHQ-2|Other: AFT|Other: GAI-SF|Other: pain VAS|Other: IADL|Other: FAM CAM|Other: 4AT|Other: BHA Usability Survey|Other: Clinical Frailty Scale	Participants that completed BHA/total participants|Usability and acceptability of Cognitici's BHA|Percentage of patients who successfully complete Cogniciti's BHA|To estimate the incidence of pre-existing neurocognitive disorders (NCD) in older adults undergoing elective ambulatory surgery.	Women's College Hospital|University Health Network, Toronto	All	65 Years and older   (Older Adult)		220	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	2020-0155-E	February 11, 2022	August 2022	September 2022	October 26, 2021		March 25, 2022	Toronto Western Hospital, Toronto, Ontario, Canada		https://ClinicalTrials.gov/show/NCT05094817
976	NCT03483740	Psychosocial Intervention for Older HIV+ Adults With HAND	IN-HAND	Unknown status	No Results Available	HIV/AIDS|Aging|Mild Cognitive Impairment|Group, Peer	Behavioral: CRGT|Behavioral: HIV group therapy	Feasibility - participant attendance at group sessions|Acceptability - participant satisfaction with group sessions|Intervention fidelity - how closely facilitators adhere to intervention model	University Health Network, Toronto|CIHR Canadian HIV Trials Network|Unity Health Toronto|AIDS Committee of Toronto|Factor-Inwentash Faculty of Social Work, University of Toronto	All	40 Years and older   (Adult, Older Adult)	Not Applicable	16	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	CTNPT 029	April 9, 2018	October 31, 2018	December 31, 2018	March 30, 2018		April 11, 2018	AIDS Committee of Toronto (ACT), Toronto, Ontario, Canada|St. Michael's Hospital Neurobehavioral Research Unit, Toronto, Ontario, Canada|University Health Network, Toronto General Hospital, Toronto, Ontario, Canada	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/40/NCT03483740/Prot_SAP_000.pdf|"Informed Consent Form", https://ClinicalTrials.gov/ProvidedDocs/40/NCT03483740/ICF_001.pdf	https://ClinicalTrials.gov/show/NCT03483740
977	NCT01208675	The Swedish BioFINDER Study		Active, not recruiting	No Results Available	Mild Cognitive Impairment|Alzheimer's Disease|Dementia With Lewy Bodies|Vascular Dementia		To compare the time to conversion to clinically probable AD in MCI subjects or healthy elderly subjects with normal and abnormal biomarkers (CSF, blood, MRI, PET)|Rate of cognitive decline as measured by various cognitive tests, Activities of Daily Living (FAQ) and Global Deterioration Scale.|Group differences for imaging and wet biomarker measurements.|Rate of volume change of structural MRI measures and amyloid PET|Rates of change on each specified biochemical biomarker|Correlations between biomarkers and biomarker change|Subgroups analyses: Abnormal CSF biomarkers, positive amyloid imaging, APOE genotype.	Skane University Hospital|Lund University	All	60 Years to 80 Years   (Adult, Older Adult)		1150	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	TiDiS-2010	September 2010	December 2022	December 2022	September 24, 2010		March 2, 2021	Memory Clinic, Skåne University Hospital, Malmö, Sweden|Memory Clinic, Hospital of Ängelholm, Ängelholm, Sweden		https://ClinicalTrials.gov/show/NCT01208675
978	NCT05475158	Comparison of OCTA Factors in Patients With or Without Amyloid Pathology: A Prospective Study		Completed	No Results Available	Alzheimer Disease|Amyloid Angiopathy|Macular Ischemia|Dementia|Mild Cognitive Impairment		SD-OCT imaging|SD-OCTA imaging|Diagnostic performance|Correlations	Pusan National University Hospital	All	50 Years to 90 Years   (Adult, Older Adult)		117	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	1908-004-081	September 1, 2019	July 31, 2021	July 31, 2021	July 26, 2022		July 26, 2022	Pusan National University Hospital, Busan, Korea, Republic of		https://ClinicalTrials.gov/show/NCT05475158
979	NCT02333942	Dementia Signal Development Study of Nautilus NeuroWave TM for the Detection of Dementia		Completed	No Results Available	Alzheimer Disease|Mild Cognitive Impairment|Frontotemporal Lobar Degeneration|Memory Disorders	Device: Nautilus NeuroWaveTM System	Sensitivity as a diagnostic aid in detecting Dementia (identified signatures as compared with the clinical assessment made by the PI)|Specificity as a diagnostic aid in detecting Dementia (Rate of false positives as compared with the clinical assessment made by the PI)|Sensitivity and specificity measures for MCI and Alzheimer's disease (Efficacy and rate of false positives as compared with the clinical assessment made by the PI)|Sensitivity and specificity measures between MCI and FTDL. (distinguish between MCI and FTDL using efficacy and rate of false positives from the identified signatures as compared with the clinical assessment made by the PI)|Sensitivity and specificity measures between FTDL and Alzheimer's disease (distinguish between FTLD and Alzheimer's disease using efficacy and rate of false positives from the identified signatures as compared with the clinical assessment made by the PI)	Jan Medical, Inc.|University of California, San Francisco	All	18 Years and older   (Adult, Older Adult)		41	Industry|Other	Observational	Observational Model: Cohort|Time Perspective: Cross-Sectional	082189	May 2014	February 2015	February 2015	January 8, 2015		September 13, 2019	University of Californa San Francisco, San Francisco, California, United States		https://ClinicalTrials.gov/show/NCT02333942
980	NCT01370954	NAC-003 P.L.U.S. Program (Progress Through Learning Understanding & Support)		Completed	No Results Available	Early Memory Loss|Mild Cognitive Impairment|Alzheimer's Disease|Vascular Dementia	Other: CerefolinNAC®	To determine if CerefolinNAC® affects a subject's quality of life as measured by the Quality of Life-Alzheimer's Disease Scale (QOL-AD)|To determine overall patient satisfaction with CerefolinNAC® using a 9-point satisfaction scale	Pamlab, Inc.|InfoMedics, Inc.	All	50 Years to 80 Years   (Adult, Older Adult)		204	Industry	Observational	Observational Model: Cohort|Time Perspective: Prospective	NAC-003	May 2011	November 2012	December 2012	June 10, 2011		May 9, 2013	Falls Neurology and Memory Center, Hickory, North Carolina, United States		https://ClinicalTrials.gov/show/NCT01370954
981	NCT04385225	Effect of Hearing Loss and Vestibular Decline on Cognitive Function in Older Subjects	GECkO	Recruiting	No Results Available	Hearing Loss, Sensorineural|Bilateral Vestibulopathy|Alzheimer Disease|Mild Cognitive Impairment	Other: Longitudinal follow-up	Change in Repeatable Battery for the Assessment of Neuropsychological Status for Hearing Impaired Individuals total score	University Hospital, Antwerp|Universiteit Antwerpen	All	55 Years and older   (Adult, Older Adult)	Not Applicable	300	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	B300201938949	December 16, 2019	November 2022	November 2022	May 12, 2020		May 12, 2020	University Hospital Antwerp, Edegem, Antwerp, Belgium		https://ClinicalTrials.gov/show/NCT04385225
982	NCT01231971	Alzheimer's Disease Neuroimaging Initiative 2	ADNI2	Completed	No Results Available	Mild Cognitive Impairment (MCI)|Alzheimer's Disease (AD)|Significant Memory Concern (SMC)|Early Mild Cognitive Impairment (EMCI)|Late Mild Cognitive Impairment (LMCI)	Drug: Florbetapir|Drug: Flortaucipir	Rate of volume change of whole brain, hippocampus and other structural MRI measures|Rate of Decline as measured by: Cognitive Tests, Activities of Daily Living, and CDR Sum of Boxes|Rate of conversion will be evaluated among all five groups|Rates of change on each specified biochemical biomarker|Rates of change of glucose metabolism (FDG-PET)|Extent of amyloid deposition as measured by Florbetapir F 18|Group differences for each imaging and biomarker measurement|Correlations among biomarkers and biomarker change|APOE genotype, low CSF Aβ42, positive amyloid imaging with florbetapir F 18 (AV-45)|Rate of change of tau and extent of tau deposition as measured by flortaucipir (18F-AV-1451)|Rate of cognitive decline using computer based testing as measured by Cogstate Brief Battery (CBB)	University of Southern California|Northern California Institute of Research and Education|National Institute on Aging (NIA)|Alzheimer's Therapeutic Research Institute	All	55 Years to 90 Years   (Adult, Older Adult)		1182	Other|NIH	Observational	Observational Model: Cohort|Time Perspective: Prospective	ADC-039-ADNI2|U01AG024904	February 14, 2011	November 29, 2017	November 29, 2017	November 1, 2010		February 15, 2022	University of Alabama, Birmingham, Birmingham, Alabama, United States|Banner Alzheimer's Institute, Phoenix, Arizona, United States|Banner Sun Health Research Institute, Sun City, Arizona, United States|University of California, Irvine, Irvine, California, United States|University of California, San Diego, La Jolla, California, United States|University of Southern California, Los Angeles, California, United States|University of California, Los Angeles, Los Angeles, California, United States|University of California, Davis, Martinez, California, United States|University of California, Irvine (Brain Imaging Center), Orange, California, United States|Stanford University / PAIRE, Palo Alto, California, United States|University of California, San Francisco, San Francisco, California, United States|Yale University School of Medicine, New Haven, Connecticut, United States|Georgetown University, Washington, District of Columbia, United States|Howard University, Washington, District of Columbia, United States|Mayo Clinic, Jacksonville, Jacksonville, Florida, United States|Wien Center for Clinical Research, Miami Beach, Florida, United States|USF Health Byrd Alzheimer's Institute, Tampa, Florida, United States|Premiere Research Institute, West Palm Beach, Florida, United States|Emory University, Atlanta, Georgia, United States|Northwestern University, Chicago, Illinois, United States|Rush University Medical Center, Chicago, Illinois, United States|Indiana University, Indianapolis, Indiana, United States|University of Iowa, Iowa City, Iowa, United States|University of Kansas, Kansas City, Kansas, United States|University of Kentucky, Lexington, Kentucky, United States|Johns Hopkins University, Baltimore, Maryland, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Boston University, Boston, Massachusetts, United States|University of Michigan, Ann Arbor, Ann Arbor, Michigan, United States|Mayo Clinic, Rochester, Rochester, Minnesota, United States|Washington University, St. Louis, Saint Louis, Missouri, United States|Cleveland Clinic Lou Ruvo Center for Brain Health, Las Vegas, Nevada, United States|Dartmouth Medical Center, Lebanon, New Hampshire, United States|Albany Medical College, Albany, New York, United States|Dent Neurologic Institute, Amherst, New York, United States|New York University Medical Center, New York, New York, United States|Columbia University, New York, New York, United States|Mount Sinai School of Medicine, New York, New York, United States|Nathan S. Kline Institute for Psychiatric Research, Orangeburg, New York, United States|University of Rochester Medical Center, Rochester, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States|Case Western Reserve University, Beachwood, Ohio, United States|Ohio State University, Columbus, Ohio, United States|Oregon Health and Science University, Portland, Oregon, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|Rhode Island Hospital, Providence, Rhode Island, United States|Butler Hospital Memory and Aging Program, Providence, Rhode Island, United States|Roper St. Francis Healthcare, North Charleston, South Carolina, United States|University of Texas Southwestern Medical Center, Dallas, Texas, United States|Baylor College of Medicine, Houston, Texas, United States|University of Wisconsin, Madison, Wisconsin, United States|University of British Columbia, Clinic for Alzheimer's Disease and Related Disorders Program, Vancouver, British Columbia, Canada|Parkwood Institute, London, Ontario, Canada|St. Joseph's Health Center - Cognitive Neurology, London, Ontario, Canada|Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada|McGill University / Jewish General Hospital Memory Clinic, Montreal, Quebec, Canada		https://ClinicalTrials.gov/show/NCT01231971
983	NCT02699476	Enhancing Cognitive and Neurobehavioral Functions After Repetitive Traumatic Brain Injuries (rTBI) in Retired NFL Players and Military Veterans.		Unknown status	No Results Available	Traumatic Brain Injury|Concussion|Mild Cognitive Disorder	Behavioral: Psycho-Social Therapy|Device: Cognitive Behavioral Computer Training|Behavioral: Interactive Trainer-Subject Sessions|Device: Active Control Games	Composite performance score based on battery of neuropsychological tests of working memory, learning, memory, and executive function.|Participant reported outcomes|Working/school status|Exercise-base assessments|Functional assessments	Brain & Body Health Foundation	All	25 Years to 55 Years   (Adult)	Not Applicable	60	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment	BBHF-001	February 2016	September 2017	December 2017	March 4, 2016		March 4, 2016	Brain & Body Health Institute, P.A., Lakeway, Texas, United States		https://ClinicalTrials.gov/show/NCT02699476
984	NCT04600726	Application of VR-based Working Memory Screening Test	VR	Not yet recruiting	No Results Available	Older Adults With Mild Neurocognitive Disorders|Older Adults With Non-communicable Diseases|Healthy Age-matched Older Adults	Other: no intervention	Delayed matching-to-place (DMP)|The Montreal Cognitive Assessment - Hong Kong Version|The Chinese Multiple Errands Test|Biological biomarkers for older adults with NCDs and Healthy Control	The Hong Kong Polytechnic University|Department of Neuroscience, Psychology and Behavior. The University of Leicester|School of Psychology, The University of Nottingham|The Alice Ho Miu Ning Nethersole Hospital	All	65 Years to 80 Years   (Older Adult)		160	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	VR_Clinical Trial	February 1, 2021	December 30, 2022	December 31, 2022	October 23, 2020		October 23, 2020			https://ClinicalTrials.gov/show/NCT04600726
985	NCT04951284	Amyloid Prediction in Early Stage Alzheimer's Disease Through Speech Phenotyping - FUTURE Extension	FUTURE-US	Recruiting	No Results Available	Alzheimer Disease|Preclinical Alzheimer's Disease|Prodromal Alzheimer's Disease|Alzheimer's Disease (Incl Subtypes)|Mild Cognitive Impairment		The agreement between the change in the PACC5 composite between baseline and +12 months and the corresponding regression model, trained on baseline speech data, predicting in all four Arms, as measured by the coefficient of individual agreement (CIA).|The agreement between the change in the PACC5 composite between baseline and +24 months and the corresponding regression model, trained on baseline speech data, predicting in all four Arms, as measured by the coefficient of individual agreement (CIA).|The agreement between the change in the PACC5 composite between baseline and +36 months and the corresponding regression model, trained on baseline speech data, predicting in all four Arms, as measured by the coefficient of individual agreement (CIA).|The agreement between the change in the PACC5 composite between baseline and +12 months and the corresponding regression model, trained on baseline speech data, to predict it in the CN Arms (Arms 3 and 4), as measured by the CIA.|The agreement between the change in the PACC5 composite between baseline and +24 months and the corresponding regression model, trained on baseline speech data, to predict it in the CN Arms (Arms 3 and 4), as measured by the CIA.|The agreement between the change in the PACC5 composite between baseline and +36 months and the corresponding regression model, trained on baseline speech data, predicting it in the MCI Arms (Arms 1 and 2), as measured by the CIA.|The agreement between the PACC5 composite at +12 months and the corresponding regression model, trained on baseline speech data, predicting in all four Arms based on +12 month speech data, as measured by the coefficient of individual agreement (CIA).|The agreement between the PACC5 composite at +24 months and the corresponding regression model, trained on baseline speech data, predicting in all four Arms based on +12 month speech data, as measured by the coefficient of individual agreement (CIA).|The agreement between the PACC5 composite at +36 months and the corresponding regression model, trained on baseline speech data, predicting in all four Arms based on +12 month speech data, as measured by the coefficient of individual agreement (CIA).|The agreement between the PACC5 composite and the corresponding regression model, trained on baseline speech data and +12 month speech data, as measured by the coefficient of individual agreement (CIA).|The agreement between the PACC5 composite and the corresponding regression model, trained on baseline speech data and +24 month speech data, as measured by the coefficient of individual agreement (CIA).|The agreement between the PACC5 composite and the corresponding regression model, trained on baseline speech data and +36 month speech data, as measured by the coefficient of individual agreement (CIA).|The AUC of the binary classifier distinguishing between converters vs non-converters in the cognitively normal (CN) Arms (Arms 3 and 4); converters defined as having a CDR Global score of 0.5 or more at +12 months.|The AUC of the binary classifier distinguishing between converters vs non-converters in the cognitively normal (CN) Arms (Arms 3 and 4); converters defined as having a CDR Global score of 0.5 or more at +24 months.|The AUC of the binary classifier distinguishing between converters vs non-converters in the cognitively normal (CN) Arms (Arms 3 and 4); converters defined as having a CDR Global score of 0.5 or more at +36 months.|The sensitivity of the binary classifier distinguishing between converters vs non-converters in the cognitively normal (CN) Arms (Arms 3 and 4); converters defined as having a CDR Global score of 0.5 or more at +12 months.|The sensitivity of the binary classifier distinguishing between converters vs non-converters in the cognitively normal (CN) Arms (Arms 3 and 4); converters defined as having a CDR Global score of 0.5 or more at +24 months.|The sensitivity of the binary classifier distinguishing between converters vs non-converters in the cognitively normal (CN) Arms (Arms 3 and 4); converters defined as having a CDR Global score of 0.5 or more at +36 months.|The specificity of the binary classifier distinguishing between converters vs non-converters in the cognitively normal (CN) Arms (Arms 3 and 4); converters defined as having a CDR Global score of 0.5 or more at +12 months.|The specificity of the binary classifier distinguishing between converters vs non-converters in the cognitively normal (CN) Arms (Arms 3 and 4); converters defined as having a CDR Global score of 0.5 or more at +24 months.|The specificity of the binary classifier distinguishing between converters vs non-converters in the cognitively normal (CN) Arms (Arms 3 and 4); converters defined as having a CDR Global score of 0.5 or more at +36 months.|The Cohen's kappa of the binary classifier distinguishing between converters vs non-converters in the cognitively normal (CN) Arms (Arms 3 and 4); converters defined as having a CDR Global score of 0.5 or more at +12 months.|The Cohen's kappa of the binary classifier distinguishing between converters vs non-converters in the cognitively normal (CN) Arms (Arms 3 and 4); converters defined as having a CDR Global score of 0.5 or more at +24 months.|The Cohen's kappa of the binary classifier distinguishing between converters vs non-converters in the cognitively normal (CN) Arms (Arms 3 and 4); converters defined as having a CDR Global score of 0.5 or more at +36 months.|The AUC of the binary classifier distinguishing between fast decliners vs slow decliners in the MCI Arms (Arms 1 and 2) at +12 months.|The AUC of the binary classifier distinguishing between fast decliners vs slow decliners in the MCI Arms (Arms 1 and 2) at +24 months.|The AUC of the binary classifier distinguishing between fast decliners vs slow decliners in the MCI Arms (Arms 1 and 2) at +36 months.|The sensitivity of the binary classifier distinguishing between fast decliners vs slow decliners in the MCI Arms (Arms 1 and 2) at +12 months.|The sensitivity of the binary classifier distinguishing between fast decliners vs slow decliners in the MCI Arms (Arms 1 and 2) at +24 months.|The sensitivity of the binary classifier distinguishing between fast decliners vs slow decliners in the MCI Arms (Arms 1 and 2) at +36 months.|The specificity of the binary classifier distinguishing between fast decliners vs slow decliners in the MCI Arms (Arms 1 and 2) at +12 months.|The specificity of the binary classifier distinguishing between fast decliners vs slow decliners in the MCI Arms (Arms 1 and 2) at +24 months.|The specificity of the binary classifier distinguishing between fast decliners vs slow decliners in the MCI Arms (Arms 1 and 2) at +36 months.|The Cohen's kappa of the binary classifier distinguishing between fast decliners vs slow decliners in the MCI Arms (Arms 1 and 2) at +12 months.|The Cohen's kappa of the binary classifier distinguishing between fast decliners vs slow decliners in the MCI Arms (Arms 1 and 2) at +24 months.|The Cohen's kappa of the binary classifier distinguishing between fast decliners vs slow decliners in the MCI Arms (Arms 1 and 2) at +36 months.	Novoic Limited	All	50 Years to 85 Years   (Adult, Older Adult)		50	Industry	Observational	Observational Model: Case-Control|Time Perspective: Prospective	NOV-0110-1	January 21, 2021	August 15, 2022	August 15, 2024	July 6, 2021		July 6, 2021	Syrentis Clinical Research, Santa Ana, California, United States		https://ClinicalTrials.gov/show/NCT04951284
986	NCT04928976	Amyloid Prediction in Early Stage Alzheimer's Disease Through Speech Phenotyping	AMYPRED-US	Completed	No Results Available	Alzheimer Disease|Preclinical Alzheimer's Disease|Prodromal Alzheimer's Disease|Alzheimer's Disease (Incl Subtypes)|Mild Cognitive Impairment		Area under the curve (AUC) of the receiver operating characteristic (ROC) curve of the binary classifier distinguishing between amyloid positive (Arms 1 and 3) and amyloid negative (Arms 2 and 4) Arms using speech recordings as input.|The sensitivity of the binary classifier distinguishing between amyloid positive (Arms 1 and 3) and amyloid negative (Arms 2 and 4) Arms.|The specificity of the binary classifier distinguishing between amyloid positive (Arms 1 and 3) and amyloid negative (Arms 2 and 4) Arms.|The Cohen's kappa of the binary classifier distinguishing between amyloid positive (Arms 1 and 3) and amyloid negative (Arms 2 and 4) Arms.|The sensitivity of the binary classifier distinguishing between amyloid positive cognitively normal (CN) (Arm 3) and amyloid negative cognitively normal (CN) (Arm 4) Arms.|The specificity of the binary classifier distinguishing between amyloid positive cognitively normal (CN) (Arm 3) and amyloid negative cognitively normal (CN) (Arm 4) Arms.|The Cohen's kappa of the binary classifier distinguishing between amyloid positive cognitively normal (CN) (Arm 3) and amyloid negative cognitively normal (CN) (Arm 4) Arms.|The AUC of the binary classifier distinguishing between amyloid positive cognitively normal (CN) (Arm 3) and amyloid negative cognitively normal (CN) (Arm 4) Arms.|The sensitivity of the binary classifier distinguishing between amyloid positive MCI (Arm 1) and amyloid negative MCI (Arm 2) Arms.|The specificity of the binary classifier distinguishing between amyloid positive MCI (Arm 1) and amyloid negative MCI (Arm 2) Arms.|The Cohen's kappa of the binary classifier distinguishing between amyloid positive MCI (Arm 1) and amyloid negative MCI (Arm 2) Arms.|The AUC of the binary classifier distinguishing between amyloid positive MCI (Arm 1) and amyloid negative MCI (Arm 2) Arms.|The sensitivity of the binary classifier distinguishing between the MCI (Arms 1 and 2) and the CN (Arms 3 and 4) Arms.|The specificity of the binary classifier distinguishing between the MCI (Arms 1 and 2) and the CN (Arms 3 and 4) Arms.|The Cohen's kappa of the binary classifier distinguishing between the MCI (Arms 1 and 2) and the CN (Arms 3 and 4) Arms.|The AUC of the binary classifier distinguishing between the MCI (Arms 1 and 2) and the CN (Arms 3 and 4) Arms.|The agreement between the PACC5 composite and the corresponding regression model predicting it in all four Arms, as measured by the coefficient of individual agreement (CIA).|For each classifier/regressor in outcome 1-16, the correlation between the AUC/CIA and each age group, gender and speech-to-reverberation modulation energy ratio group, as measured by the Kendall rank correlation coefficient.	Novoic Limited	All	50 Years to 85 Years   (Adult, Older Adult)		67	Industry	Observational	Observational Model: Case-Control|Time Perspective: Cross-Sectional	NOV-0110	January 22, 2021	July 30, 2021	July 30, 2021	June 16, 2021		September 5, 2021	Syrentis Clinical Research, Santa Ana, California, United States		https://ClinicalTrials.gov/show/NCT04928976
987	NCT04851496	Amyloid Prediction in Early Stage Alzheimer's Disease From Acoustic and Linguistic Patterns of Speech - PAST Extension	AMYPRED-PAST	Recruiting	No Results Available	Alzheimer Disease|Preclinical Alzheimer's Disease|Prodromal Alzheimer's Disease|Alzheimer's Disease (Incl Subtypes)|Mild Cognitive Impairment		The primary outcome measure is the area under the curve (AUC) of the receiver operating characteristic (ROC) curve of the binary classifier distinguishing between amyloid positive (Arms 1 and 3) and amyloid negative (Arms 2 and 4) arms.|The sensitivity, specificity and Cohen's kappa of the binary classifier distinguishing between amyloid positive (Arms 1 and 3) and amyloid negative (Arms 2 and 4) arms using archival spoken or written language samples as input.|The AUC, sensitivity, specificity and Cohen's kappa of the binary classifiers distinguishing between MCI and cognitively normal (CN) arms.|The AUC, sensitivity, specificity and Cohen's kappa of the binary classifier distinguishing between amyloid positive (Arms 1 and 3) and amyloid negative (Arms 2 and 4) arms.	Novoic Limited	All	50 Years to 85 Years   (Adult, Older Adult)		80	Industry	Observational	Observational Model: Case-Control|Time Perspective: Retrospective	NOV-0100-2	November 19, 2020	August 30, 2022	August 30, 2022	April 20, 2021		April 7, 2022	Re:Cognition Health, Birmingham, United Kingdom|Re:Cognition Health, Guildford, United Kingdom|Re:Cognition Health, London, United Kingdom|Re:Cognition Health, Plymouth, United Kingdom		https://ClinicalTrials.gov/show/NCT04851496
988	NCT04846426	Amyloid Prediction in Early Stage Alzheimer's Disease From Acoustic and Linguistic Patterns of Speech - FUTURE Extension	AMYPRED-FUTURE	Recruiting	No Results Available	Alzheimer Disease|Preclinical Alzheimer's Disease|Prodromal Alzheimer's Disease|Alzheimer's Disease (Incl Subtypes)|Mild Cognitive Impairment		The agreement between the change in the PACC5 composite between baseline and +12 months and the corresponding regression model, trained on baseline speech data, predicting in all four Arms, as measured by the coefficient of individual agreement (CIA).|The agreement between changes in the PACC5 composite between baseline and +24, +36 months and the corresponding regression models, trained on baseline speech data, predicting in all 4 Arms, as measured by the coefficient of individual agreement (CIA).|The agreement between the changes in the PACC5 composite between baseline and +12, +24, +36 months and the corresponding regression models, trained on baseline speech data, to predict them in the CN Arms (3 and 4), as measured by the CIA.|The agreement between the changes in the PACC5 composite between baseline and +12, +24, +36 months and the corresponding regression models, trained on baseline speech data, predicting them in the MCI Arms (Arms 1 and 2), as measured by the CIA.|The agreement between the PACC5 composite at +12, +24, +36 months and the corresponding regression models, trained on baseline speech data, predicting in all four Arms based on +12, +24, +36 month speech data, as measured by the CIA.|The agreement between the PACC5 composite at +12, +24, +36 months and the corresponding regression models, trained on baseline speech data and +12, +24, +36 month speech data, as measured by the coefficient of individual agreement (CIA).|The AUC, sensitivity, specificity and Cohen's kappa of the binary classifier distinguishing between converters vs non-converters in the cognitively normal (CN) Arms (Arms 3 and 4).|The AUC, sensitivity, specificity and Cohen's kappa of the binary classifier distinguishing between fast decliners vs slow decliners in the MCI Arms (Arms 1 and 2) at +12, +24, +36 months.|The outcomes above where the model has access to speech data at 1 month, 3 month time points, in addition to baseline speech data.	Novoic Limited	All	50 Years to 85 Years   (Adult, Older Adult)		140	Industry	Observational	Observational Model: Case-Control|Time Perspective: Prospective	NOV-0100-1	November 19, 2020	May 15, 2022	May 15, 2024	April 15, 2021		April 15, 2021	Re:Cognition Health, Birmingham, United Kingdom|Re:Cognition Health, Guildford, United Kingdom|Re:Cognition Health, London, United Kingdom|Re:Cognition Health, Plymouth, United Kingdom		https://ClinicalTrials.gov/show/NCT04846426
