drug	status	target	atc
iron	non		
zinc	non		
sorbitol	non		
uridine diphosphate glucose	non		
alpha-d-galactose-1-phosphate	non		
uridine-5'-diphosphate	non		
pyrophosphoric acid	non		
lactose	non		
inositol	non		
atp	non		
calcium	non		
magnesium cation	non		
inositol	non		
atp	non		
magnesium cation	non		
1d-myo-inositol 1,3,4-trisphosphate	non		
inositol	non		
atp	non		
calcium	non		
magnesium cation	non		
inositol	non		
inositol	approved		A11HA07
troleandomycin	approved		J01FA08
gluconic acid	approved		
methylbenactyzium	non		
daidzein	non		
technetium tc-99m etifenin	non		V09DA02
oxabolone cipionate	non		A14AB03
calcitonin porcine	non		H05BA02
ethacridine	non		D08AA01
phosphocreatine	non	GAMT,SLC6A8,CKM,CKMT1A,CKMT2,CKB	C01EB06
antihemophilic factor human	approved	F9,F10	B02BD02
vitex agnus-castus fruit extract	non		G02CX03
hedera helix leaf extract	non		R05CA12
horse chestnut	non		C05CX03
valerian	approved		N05CM09
kallidinogenase	non		C04AF01
pepsin	approved		A09AC01
brinase	non		B01AD06
lipegfilgrastim	approved	CSF3R	L03AA14
trenonacog alfa	non		
piprozolin	non		A05AX01
bamifylline	non		R03DA08
dimethyl carbate	non		P03BX05
teclozan	non		P01AC04
bamethan	non		C04AA31
arginine glutamate	non		A05BA01
prednylidene	non		H02AB11
bismuth subnitrate	approved		A02BX12
sodium chlorite	non		D03AX11
guanoxan	approved		C02CC03
phenolsulfonphthalein	non		V04CH03
butaperazine	approved		N05AB09
sulfadicramide	non		S01AB03
sulfobromophthalein	non		V04CE02
oxolamine	approved		R05DB07
fentiazac	non		M01AB10
mandelic acid	approved		B05CA06
medifoxamine	approved		N06AX13
ferrous aspartate	non		B03AA09
apronalide	approved		N05CM12
tilbroquinol	approved		P01AA05
fluocortin	non		D07AB04
piperidione	non		R05DB23
dibenzepin	approved		N06AA08
acetylleucine	non		N07CA04
tribenoside	non		C05CX01
flosequinan	approved		C01DB01
enibomal	non		N01AG01
gestonorone	non		L02AB03
calcium lactate	approved		A12AA05
suxibuzone	non		M02AA22
alaproclate	non		N06AB07
propanidid	non		N01AX04
perboric acid	approved		A01AB19
stibophen	non		P02BX03
clofoctol	non		J01XX03
tuaminoheptane	non		R01AA11
neltenexine	non		R05CB14
cymarin	non		C01AC03
begelomab	non		L04AA35
bucladesine	non		C01CE04
tiazofurine	non		L01XX18
aminomethylbenzoic acid	non		B02AA03
thiram	approved		P03AA05
quinupramine	approved		N06AA23
pramiracetam	approved		N06BX16
phthalylsulfathiazole	approved		G01AE10
magnesium silicate	approved		A02AA05
methylmethionine chloride	non		A02BX04
octopamine	non		C01CA18
tropatepine	non		N04AA12
proxibarbal	approved		N05CA22
prifinium	non		A03AB18
propatyl nitrate	non		C01DA57
clothiapine	approved		N05AH06
ferrous sulfate anhydrous	approved	HBA1,TFRC	
etofamide	approved		P01AC03
ethyl chloride	approved		N01BX01
lysozyme	non		J05AX02
sitafloxacin	non		J01MA21
aceclidine	approved		S01EB58
quassia	non		P03AX04
penimepicycline	non		J01AA10
hexobendine	approved		C01DX06
cefatrizine	non		J01DB07
ritiometan	approved		R01AX05
acetarsol	approved		G01AB01
dichlorobenzyl alcohol	approved	SCN1A	R02AA03
dibekacin	approved		J01GB09
wood creosote	non		R05CA08
meladrazine	non		G04BD03
sultopride	approved		N05AL02
micronomicin	approved		S01AA22
clorindione	non		B01AA09
idanpramine	non		A03AX06
benziodarone	approved		C01DX54
bucetin	approved		N02BE04
carbocromen	approved		C01DX05
aluminium acetoacetate	non		A02AB05
bromelains	non		D03BA03
benzododecinium	approved		D09AA05
sulfaisodimidine	non		J01EB01
meticrane	approved		G01AE10
etilamfetamine	non		A08AA06
bumadizone	approved		M01AB07
miocamycin	approved		J01FA11
tromantadine	approved		J05AC03
rimazolium	non		N02BG02
olaflur	non		A01AA03
cloridarol	non		C01DX15
calcium	non		
pimethixene	non		
pimethixene	approved		R06AX23
ipecac	approved		R05CA04
azidamfenicol	non		S01AA25
atracurium	approved		M03AC04
propamidine	non		S01AX15
idrocilamide	non		M02AX05
alsactide	non		V04CH04
sulglicotide	non		A02BX08
epicillin	non		J01CA07
hachimycin	non		J02AA02
febarbamate	non		M03BA05
triaziquone	non		L01AC02
calcium	non		
tolpropamine	non		
tolpropamine	non		D04AA12
chlorquinaldol	approved		P01AA04
proscillaridin	non		C01AB51
oxametacin	non		M01AB13
benproperine	non		R05DB02
ormeloxifene	non		G03XC04
trepibutone	non		A03AX09
delapril	non		C09AA12
melevodopa	non		N04BA04
alminoprofen	non		M01AE16
sobrerol	non		R05CB07
ibopamine	non		S01FB03
flunoxaprofen	non		M01AE15
demecolcine	non		L01CC01
propenidazole	non		G01AF14
sulfaperin	non		J01ED06
methiodal	non		V08AA09
hydrotalcite	approved		A02AD04
trichloroethylene	approved		N01AB05
tetrazepam	non		M03BX07
nifurzide	non		A07AX04
euflavine	non		D08AA03
picotamide	non		B01AC03
butanilicaine	non		N01BB05
guaiazulen	non		S01XA01
amezinium metilsulfate	non		C01CA25
pyrithyldione	non		N05CE03
dibutylsuccinate	non		P03BX04
efloxate	non		C01DX13
mannosulfan	non		L01AB03
pinazepam	non	GABRA1,GABRA1	N05BA14
dimethylphthalate	non		P03BX02
pheneticillin	approved		J01CR50
flurithromycin	non		J01FA14
etoglucid	non		L01AG01
suloctidil	non		C04AX19
fenozolone	non		N06BA08
cinepazet	non		C01DX14
tioxolone	non		D10AB03
mercuric amidochloride	non		D08AK01
dihydroergocristine	approved	HTR1A,ADRB1,ADRA1A,DRD1	C04AE54
bufexamac	approved	PTGS1,PTGS2	M01AB17
diphenadione	non		B01AA10
tiadenol	non		C10AX03
calcium	non		
talastine	non		
talastine	non		R06AB07
azanidazole	non		G01AF13
piperidolate	non		A03AA30
deanol	non		N06BX04
viminol	non		N02BG05
phenprobamate	non		M03BA71
visnadine	non		C04AX24
mesulfen	non		P03AA03
styramate	non		M03BA04
cibenzoline	non		C01BG07
magnesium aspartate	non		A12CC05
tolciclate	non		D01AE19
trimethyldiphenylpropylamine	non		A03AX30
pheneturide	non		N03AX13
oxaceprol	non		M01AX24
feprazone	non		M01AX18
calcium lactate gluconate	non		A12AA06
hydrochloric acid	non		B05XA13
cloricromen	non		B01AC02
motretinide	non		D10AD05
benzilone	non		A03AB01
bromisoval	non		N05CM03
difenpiramide	non		M01AB12
calcium alginate	approved		B02BC08
acriflavinium chloride	non		R02AA13
vincamine	non		C04AX07
edrecolomab	non		L01XC01
succinimide	non		G04BX10
vinbarbital	non		N05CA09
norfenefrine	non		C01CA05
chiniofon	non		P01AX01
difemerine	non		A03AA09
sodium feredetate	approved		B03AB03
chlorproethazine	non		N05AA07
diiodohydroxypropane	non		D08AG04
melitracen	non		N06CA02
dihydroergocryptine	non		N04BC03
epimestrol	non		G03GB03
hematin	non		
phenylmercuric nitrate	non		D09AA04
iopydol	non		V08AD02
levoverbenone	non		R05CA11
merbromin	non		D08AK04
emetine	non		P01AX02
adrenalone	non		A01AD06
eprozinol	non		R03DX02
neocitrullamon	non		N03AB03
prenoxdiazine	non		R05DB18
oxyfedrine	non		C01DX03
terguride	non		G02CB06
linsidomine	non		C01DX18
metildigoxin	non		C01AA08
acetylglycinamide chloral hydrate	non		N05CC03
oxypertine	non		N05AE01
edetate sodium	non		S01XA05
mefruside	non		C03BB05
carbutamide	non		A10BB06
nifenazone	non		M02AA24
methylpropylpropanediol dinitrate	non		C01DA54
rokitamycin	non		J01FA12
guanoxabenz	non		C02CC07
lofepramine	non		N06AA07
pirisudanol	non		N06BX08
phenglutarimide	non		N04AA09
fenyramidol	non		M03BX30
pentetrazol	non		R07AB53
sulbutiamine	non		A11DA02
morinamide	non		J04AK04
moxestrol	non		G03CB04
troxipide	non		A02BX11
calcium	non		
thiazinam	non		
thiazinam	non		R06AD06
edoxudine	approved		D06BB09
nicofuranose	non		C10AD03
ferric hydroxide	non		B03AB04
clofenotane	non		P03AB51
flutrimazole	non		G01AF18
gold au-198	non		V10AX06
iobenzamic acid	non		V08AC05
tolonidine	non		C02AC04
mebutizide	non		C03AA13
proglumide	non		A02BX06
lonazolac	non		M01AB09
simfibrate	non		C10AB06
fenticonazole	non		D01AC12
endralazine	non		C02DB03
droxypropine	non		R05DB17
medazepam	non	GABRA1,GABRA1	N05BA03
prolintane	non		N06BX14
fenpiprane	non		A03AX01
niceritrol	non		C10AD01
citiolone	non		A05BA04
esatenolol	non		C07AB11
ioxitalamic acid	approved		V08AA05
nepinalone	non		R05DB26
guar gum	non		A10BX01
prethcamide	non		R07AB06
mazaticol	non		N04AA10
proxyphylline	non		R03DA03
tioclomarol	non		B01AA11
cadralazine	non		C02DB04
xenon	non		N01AX15
nicomorphine	non		N02AA04
phenibut	non		N06BX22
midecamycin	non		J01FA03
oxaflozane	non		N06AX10
thebacon	non		R05DA10
pecilocin	non		D01AA04
ronifibrate	non		C10AB07
cefcapene	non		J01DD17
bephenium	non		P02CX02
oxetorone	non		N02CX06
ornipressin	non		H01BA05
ciclobendazole	non		P02CA04
deptropine	non		R06AX16
lanatoside c	non		C01AA06
etybenzatropine	non		N04AC30
phanquinone	non		P01AX04
cefodizime	non		J01DD09
nalfurafine	non		V03AX02
cyclofenil	non		G03GB01
antimony pentasulfide	non		R05CA07
tipepidine	non		R05DB24
furazidin	non		J01XE03
diisopromine	non		A03AX02
sodium apolate	non		C05BA02
meptazinol	non		N02AX05
calcium	non		
histapyrrodine	non		
histapyrrodine	non		R06AC52
lentinan	non		L03AX01
tenidap	non		M01AX23
dimefline	non		R07AB08
etamsylate	non		B02BX01
quinbolone	non		A14AA06
sulfametomidine	non		J01ED03
magnesium peroxide	non		A06AD03
iodine (131i) norcholesterol	non		V09XA01
bencyclane	non		C04AX11
bamipine	non		R06AX01
hidrosmin	non		C05CA05
fluperolone	non		D07AB05
policresulen	non		D08AE02
cyclobutyrol	non		A05AX03
dimetofrine	non		C01CA12
paraoxon	non		S01EB10
iprindole	non		N06AA13
valethamate	non		A03AX14
cefsulodin	non		J01DD03
otilonium	non		A03CA04
bendazac	approved		M02AA11
budipine	non		N04BX03
tyrothricin	approved		S01AA05
cefetamet	non		J01DD10
emepronium	non		A03CA30
carfecillin	non		G01AA08
poldine	non		A03AB11
cloranolol	non		C07AA27
aloxiprin	non		N02BA02
buflomedil	non		C04AX20
clebopride	non		A03FA06
clefamide	non		P01AC02
tribromometacresol	non		D01AE03
pranoprofen	non		S01BC09
levomethadone	non		N07BC05
clodantoin	non		G01AX01
angiotensinamide	non		C01CX06
alginic acid	approved		A02BX13
cerium oxalate	non		A04AD02
metergoline	approved		G02CB05
alipogene tiparvovec	approved		C10AX10
mebicar	non		N06BX21
veralipride	non		N05AL06
propyphenazone	non		N02BB74
althea root	non		R05CA05
pentaerithrityl	non		A06AD14
proglumetacin	non		M01AB14
chlormadinone	non		G03AA15
dobesilic acid	non		C05BX01
mepindolol	non		C07AA14
nicofetamide	non		A03AC04
cyclopenthiazide	approved		G01AE10
methylestrenolone	non		G03DC31
gedocarnil	non		N05BX02
nebacumab	non		J06BC01
broxyquinoline	non		P01AA01
gitoformate	non		C01AA09
guacetisal	non		N02BA14
iodoxamic acid	non		V08AC01
isepamicin	non		J01GB11
iprazochrome	non		N02CX03
bevonium	non		A03AB13
mitobronitol	non		L01AX01
ethenzamide	non		N02BA07
isobromindione	non		M04AB04
nizofenone	non		N06BX10
sulfatolamide	non		G01AE01
dibrompropamidine	non		D08AC01
4-dimethylaminophenol	non		V03AB27
bifemelane	non		N06AX08
cinchophen	non		M04AC02
trifluperidol	non		N05AD02
carumonam	non		J01DF02
moperone	non		N05AD04
prajmaline	non		C01BA08
sulfamazone	non		J01ED09
thiopropazate	non		N05AB05
morclofone	non		R05DB25
rimiterol	non		R03AC05
dextranomer	non		D03AX02
clobenzorex	non		A08AA08
norgestrienone	non		G03AC07
zipeprol	non		R05DB15
benzoxonium	non		A01AB14
sequifenadine	non		R06AX32
desaspidin	non		P02DX01
diodone	non		V08AA10
ferrous chloride	non		B03AA05
oxidized cellulose	non		B02BC02
pentamycin	non		G01AA11
emylcamate	non		N05BC03
acefylline	non		R03DA09
heptaminol	non		C01DX08
bietaserpine	non		C02AA07
aluminium nicotinate	non		C10AD04
allobarbital	non		N05CA21
metabutethamine	non		N01BA01
mepixanox	non		R07AB09
succinylsulfathiazole	non		A07AB04
rociverine	non	CHRM1,CHRM2,CHRM3,CHRM4,CHRM5	A03AA06
ferric (59fe) citrate	non		V09XX04
mephenesin	approved		M03BX06
gallamine	non		M03AC02
aminoethyl nitrate	non		C01DX01
metandienone	non		A14AA03
mesterolone	non		G03BB01
naftidrofuryl	non		C04AX21
calcium pangamate	non		A12AA11
metopimazine	non		A04AD05
etamiphylline	non		R03DB06
zolimidine	non		A02BX10
almasilate	approved		A02AD05
oxycinchophen	non		M01CA03
moroxydine	non		J05AX01
diethyl ether	non		N01AA01
difetarsone	non		P01AR02
deltamethrin	non		P03BA03
oxiracetam	non		N06BX07
promegestone	non		G03DB07
pyrrolnitrin	non		D01AA07
guanazodine	non		C02CC06
phenoperidine	non		N01AH04
phenazocine	non		N02AD02
picloxydine	non		S01AX16
tiocarlide	non		J04AD02
umifenovir	non		J05AX13
flumedroxone	non		N02CB01
chlormidazole	non		D01AC04
carbaspirin calcium	non		N02BA15
ticlatone	non		D01AE08
metizoline	non		R01AA10
mifamurtide	approved	TLR4,NOD2	L03AX15
melagatran	non		B01AE04
clorexolone	non		C03BA12
ipriflavone	non		M05BX01
bornaprine	non		N04AA11
potassium gluconate	approved		A12BA05
tetragalacturonic acid hydroxymethylester	non		B02BC03
selenium (75se) norcholesterol	non		V09XX03
fabomotizole	non		N05BX04
methoxyphenamine	approved		R03CB02
carbuterol	non		R03CC10
aluminium glycinate	non		A02AB07
oxolinic acid	non		J01MB05
ethyl hydroxybenzoate	approved		D01AE10
mofebutazone	non		M01AA02
bibenzonium	non		R05DB12
methoserpidine	non		C02AA06
protiofate	non		G01AX13
mepartricin	non		G04CX03
pentifylline	non		C04AD01
tiracizine	non		C01EB11
etanautine	non		N04AB01
tenitramine	non		C01DA38
cefbuperazone	non		J01DC13
ferrous tartrate	non		B03AA08
acetoxolone	non		A02BX09
metisazone	non		J05AA01
pridinol	non		M03BX03
loprazolam	non	GABRA1	N05CD11
methylthiouracil	non		H03BA01
ethacizine	non		C01BC09
saruplase	non		B01AD08
semustine	non		L01AD03
alcuronium	non		M03AA01
proquazone	non		M01AX13
aloglutamol	non		A02AB06
lorajmine	non		C01BA12
bunaftine	non		C01BD03
lorcainide	non		C01BC07
montmorillonite	non		A07BC05
nikethamide	non		R07AB02
eberconazole	non		D01AC17
benorilate	approved		N02BA10
hemoglobin raffimer	non		B05AA09
tenonitrozole	non		P01AX08
propicillin	non		J01CE03
niridazole	non		P02BX02
hexapropymate	non		N05CM10
clofenamide	non		C03BB07
formocortal	non		S01BA12
fluanisone	non		N05AD09
tiemonium iodide	non		A03AB17
cefozopran	non		J01DE03
ipidacrine	non		N06DA05
morpholine	non		N02BA08
oxantel	non		P02CC02
sulbentine	non		D01AE09
dimethylaminopropionylphenothiazine	non		A03AC02
bekanamycin	non		J01GB13
cridanimod	non		L03AX18
metahexamide	non		A10BB10
mosapramine	non		N05AX10
carboquone	non		L01AC03
dihexyverine	non		A03AA08
calcium	non		
dexchlorpheniramine	non		
dexchlorpheniramine	non		R06AB52
naftazone	approved		C05CX02
butalamine	non		C04AX23
cefpirome	approved		J01DE02
quinisocaine	non		D04AB05
omoconazole	non		G01AF16
quingestanol	non		G03AC04
clometocillin	non		J01CE07
niaprazine	non		N05CM16
drisapersen	non		M09AX04
tacalcitol	non		D05AX04
vinyl ether	non		N01AA02
acetyldigoxin	non		C01AA02
tretoquinol	non		R03CC09
sulbenicillin	non		J01CA16
distigmine	non		N07AA03
penthienate	non		A03AB04
bromochlorosalicylanilide	non		D01AE01
ambazone	non		R02AA01
ferrous carbonate	non		B03AA04
sulfathiourea	non		J01EB08
protamine	non		V03AB14
ioglicic acid	non		V08AA06
tibezonium iodide	non		A01AB15
gepefrine	non		C01CA15
pristinamycin	non		J01FG01
decamethoxine	non		D08AJ10
eosin	non		D08AX02
sodium tartrate	approved		A06AD21
fenquizone	non		C03BA13
ciclonicate	non		C04AC07
metenolone	non		A14AA04
calcium	non		
tritoqualine	non		
tritoqualine	approved		R06AX21
dixanthogen	non		P03AA01
quifenadine	non		R06AX31
xibornol	non		J01XX02
dilazep	non		C01DX10
dibutylphthalate	non		P03BX03
phenothrin	non		P03AC53
hydroquinine	non		M09AA01
trolnitrate	non		C01DA09
diphemanil	approved	CHRM3	A03CA08
cypermethrin	non		P03BA02
pirprofen	non		M01AE08
meldonium	non		C01EB22
nifuratel	non		G01AX05
terodiline	non		G04BD05
sulfaguanidine	non		A07AB03
azapetine	non		C04AX30
halometasone	non		D07AC12
camostat	non		B02AB04
nifurtoinol	non		J01XE02
butamirate	non		R05DB13
meglumine antimoniate	non		P01CB01
methylpentynol	non		N05CX03
biphenylol	non		D08AE06
potassium guaiacolsulfonate	non		
fenoxazoline	non		R01AA12
cyclobarbital	non		N05CA10
camylofin	non		A03AA03
penamecillin	non		J01CE06
bemegride	non		R07AB05
ioglycamic acid	non		V08AC03
elcatonin	non		H05BA04
sodium aurotiosulfate	approved		M01CB02
piromidic acid	non		J01MB03
fazadinium bromide	non		M03AC08
bioallethrin	approved		P03AC52
trolamine	approved		D03AX12
tidiacic arginine	non		A05BA07
magnesium gluconate	approved		A12CC03
obidoxime	non		V03AB13
glycyrrhizic acid	approved	HSD11B1,TNF,CASP3,NFKB2,LPL	A05BA08
tetramethrin	non		P03BA04
cetiedil	non		C04AX26
mephenoxalone	non		N05BX01
iocarmic acid	non		V08AA08
peruvoside	non		C01AX02
epanolol	non		C07AB10
meclofenoxate	non		N06BX01
fenpiverinium	non		A03AB21
niperotidine	non		A02BA05
tilactase	approved		A09AA04
dexrabeprazole	non		A02BC07
aurotioprol	non		M01CB05
monoxerutin	non		C05CA02
mercuric chloride	non		D08AK03
lidoflazine	approved		C08EX01
vorozole	non		L02BG05
domiodol	non		R05CB08
emetonium iodide	non		A03AB16
vinylbital	non		N05CA08
ferric sodium citrate	non		B03AB01
rufloxacin	non		J01MA10
sulfamethoxypyridazine	non		J01ED05
myristalkonium	non		R02AA10
tertatolol	non		C07AA16
ibacitabine	non		D06BB08
prenalterol	non		C01CA13
cefazedone	non		J01DB06
guanoclor	non		C02CC05
aluminium clofibrate	non		C10AB03
xamoterol	approved	ADRB1	C01CX07
imipramine oxide	non		N06AA03
acemetacin	approved	PTGS1,PTGS2	M01AB11
dixyrazine	non		N05AB01
dropropizine	non		R05DB19
magnesium orotate	non		A12CC09
tilidine	non		N02AX01
chlorbenzoxamine	non		A03AX03
aluminium acetotartrate	non		S02AA04
fipexide	non		N06BX05
penfluridol	non		N05AG03
clopamide	non		C03BB03
vinburnine	non		C04AX17
dimethoxanate	non		R05DB28
brodimoprim	non		J01EA02
dibunate	non		R05DB16
iodocholesterol (131i)	non		V09XA02
demoxytocin	non		H01BB01
ethadione	non		N03AC03
calcium levulinate	approved		A12AA30
muzolimine	approved		C03CD01
epomediol	non		A05BA05
xipamide	non		C03BA10
benzylthiouracil	non		H03BA03
reposal	non		N05CA12
linopirdine	non		N06BX09
tisopurine	non		M04AA02
calcium	non		
mebhydrolin	non		
mebhydrolin	non		R06AX15
paclitaxel poliglumex	non		L01CD03
dimemorfan	non		R05DA11
oblimersen	non		L01XX36
bufylline	non		R03DA10
iodoform	approved		D09AA13
talampicillin	non		J01CA15
xenysalate	non		D11AC09
aspoxicillin	non		J01CA19
carbromal	non		N05CM04
bibrocathol	non		S01AX05
proxazole	non		A03AX07
calcium	non		
oxomemazine	non		
oxomemazine	non		R06AD08
ceftezole	non		J01DB12
meprotixol	non		R05DB22
pipemidic acid	non		J01MB04
enprostil	non		A02BB02
fedrilate	non		R05DB14
etohexadiol	non		P03BX06
indanazoline	non		R01AA15
cyfluthrin	non		P03BA01
calcium silicate	non		A02AC02
copper usnate	non		G01AX15
potassium permanganate	non		V03AB18
ranimustine	non		L01AD07
methylatropine	non		A03BB02
phenylmercuric borate	non		D08AK02
caroverine	non		A03AX11
metampicillin	non		J01CA14
doxefazepam	non	GABRA1,GABRA1	N05CD12
noxytiolin	approved		B05CA07
dipyrocetyl	non		N02BA09
calcium	non		
hydroxyethylpromethazine	non		
hydroxyethylpromethazine	non		R06AD05
clopenthixol	non		N05AF02
etofylline nicotinate	non		C04AD04
cloprednol	non		H02AB14
pipenzolate	non		A03CA09
etafenone	non		C01DX07
pyrrobutamine	non		R06AX58
rhenium re-186 sulfide	non		V10AX05
fluorodopa (18f)	approved		V09IX05
clofibride	non		C10AB10
timepidium	non		A03AB19
artemotil	approved		P01BE04
mefenorex	non		A08AA09
anethole trithione	approved		A16AX02
gamolenic acid	approved		D11AX02
nifuroxazide	non		A07AX03
fluclorolone	non		D07AC02
demegestone	non	PGR	G03DB05
dimazole	approved		D01AE17
imidazole salicylate	non		N02BA16
iopentol	non		V08AB08
magnesium phosphate	non		B05XA10
fosfructose	non		C01EB07
hemoglobin crosfumaril	non		B05AA08
dehydroemetine	non		P01AX09
etynodiol	non		G03DC06
fluticasone	approved	NR3C1	R03BA05
adefovir	non		
2-methoxy-6-{(e)-[(4-methylphenyl)imino]methyl}phenol	non		
albendazole oxide	non		
lormetazepam	approved	GABRA1,GABRA1	N05CD06
fenofibric acid	approved	PPARA	C10AB11
enasidenib	approved	IDH2	L01XX59
harmaline	non		
brofaromine	non		
iniparib	non		
pibrentasvir	approved		J05AP57
glecaprevir	approved		J05AP57
tisagenlecleucel	approved	CD19	
methyl nicotinate	approved		
coral snake (micrurus fulvius) immune globulin antivenin (equine)	approved		
albutrepenonacog alfa	approved	F10	
ferric subsulfate	approved		
human cytomegalovirus immune globulin	approved		J06BB09
meningococcal polysaccharide vaccine group w-135	approved		
meningococcal polysaccharide vaccine group y	approved		
meningococcal polysaccharide vaccine group a	approved		
meningococcal polysaccharide vaccine group c	approved		
crotalus scutulatus antivenin	approved		
crotalus atrox antivenin	approved		
crotalus adamanteus antivenin	approved	PLA2G10	
agkistrodon piscivorus antivenin	approved	PLA2G10	
rhus glabra pollen	approved		
talimogene laherparepvec	approved		L01XX51
equine botulinum neurotoxin e immune fab2	approved		
equine botulinum neurotoxin c immune fab2	approved		
equine botulinum neurotoxin g immune fab2	approved		
equine botulinum neurotoxin a immune fab2	approved		
equine botulinum neurotoxin f immune fab2	approved		
equine botulinum neurotoxin d immune fab2	approved		
equine botulinum neurotoxin b immune fab2	approved		
cat dander extract	approved		
scorpion (centruroides) immune fab2 antivenin (equine)	approved		
aloe vera leaf	approved		
fusarium graminearum	approved		
amylmetacresol	approved		
bismuth subgallate	approved		
valproate bismuth	approved		
phloxine b	approved		
coumermycin a1	non		
belladonna	approved		
volixibat	non	SLC10A2	
axicabtagene ciloleucel	approved	CD19	
toyocamycin	non		
deoxyepinephrine	non		
diclofop-methyl	non		
candesartan	non	AGTR1	C09DA06
valopicitabine	non		
2'-c-methylcytidine	non		
emicizumab	approved	F9,F10	B02BX06
varicella zoster vaccine (recombinant)	approved		
dotatate gallium ga-68	approved	SSTR2	
cenegermin	approved		S01XA24
anle138b	non		
semaglutide	approved	GLP1R	A10BJ06
relcovaptan	non		
ulixertinib	non		
netarsudil	approved	ROCK1,ROCK2,SLC6A2	S01EE51
voretigene neparvovec	approved	RPE65	S01XA27
nonacog beta pegol	approved	F7,F8,F10	
ligandrol	non		
ac-262536	non		
jnj-28330835	non		
lgd-3303	non		
s-40503	non		
rad-140	non		
2,5-dimethoxy-4-ethylthioamphetamine	non		
piperaquine	non		P01BX02
testosterone cypionate	approved	AR	
testosterone enanthate	approved	AR	
testosterone undecanoate	approved	AR	
testosterone enantate benzilic acid hydrazone	approved		
n-(2-hydroxybenzyl)-2,5-dimethoxy-4-cyanophenylethylamine	non		
ferric cation	approved	TFRC	
win 55212-2	non		
stanolone acetate	non		
estradiol acetate	approved	ESR1,ESR2	
estradiol benzoate	approved	ESR1,ESR2	
estradiol cypionate	approved	ESR1,ESR2	
estradiol dienanthate	approved	ESR1,ESR2	
estradiol valerate	approved	ESR1,ESR2	
j147	non		
trestolone acetate	non		
medium-chain triglycerides	approved		
bronopol	approved		
fish oil	approved	DGAT2,PTGS2,FFAR4	
calcium saccharate	approved		
1,2-dichlorobenzene	non		
peanut oil	approved		
sarracenia purpurea	approved		
isopropyl myristate	approved		
patent blue	approved	ALB	V04CX09
plasma protein fraction (human)	approved		
quaternium-24	non		
dioctyldimonium	approved		
vanadium	approved		
racemethionine	approved		
remestemcel-l	approved		
passiflora incarnata flower	approved		
black cohosh	non		G02CX04
sulesomab	approved		V09HA04
potassium carbonate	approved		
selisistat	non		
besilesomab	approved		
copper cu-64	approved		
nomegestrol acetate	approved		
lutetium lu-177	approved		
5,7,2′-trihydroxy-6,8-dimethoxyflavone	non		
cyclopropane	non		
lutetium lu 177 dotatate	approved	SSTR2,SSTR1,SSTR3,SSTR4,SSTR5	
strontium chloride	approved		
sb-269970	non		
epitizide	non		C03EA03
dipropyl-4-hydroxytryptamine	non		
pipequaline	non		
azintamide	non		
mrk-409	non		
azd-7325	non	GABRA3,GABRA2	
ferric pyrophosphate citrate	approved	FTL,FTH1,HBA1,HBB	
magnesium acetate	approved		
baloxavir marboxil	approved		J05AX25
lonoctocog alfa	approved	F10,F9,VWF	
moroctocog alfa	approved	F10,F9,VWF	
tetraglyme	non		
alpha-tocopherol succinate	approved		
d-alpha-tocopherol acetate	approved		
alpha-tocopherol acetate	approved		
tildrakizumab	approved	IL12B	L04AC17
dimethicone 410	approved		
choline salicylate	approved		N02BA03
pentetic acid	approved		
hispidulin	non		
medical cannabis	non	CNR1	
5-methoxy-n,n-dimethyltryptamine	non		
nabiximols	non	CNR1,CNR2	
burosumab	approved		M05BX05
sr-9009	non		
sr-9011	non		
sodium bisulfite	approved		
ox bile extract	approved		
h3b-8800	non	SF3B1	
bromotheophylline	approved		R03DA20
fosnetupitant	approved	TACR1	
benzoin	approved		
typhoid vaccine	approved		
clinafloxacin	non		
thiosalicylic acid	non		
taspoglutide	non		
nordazepam	non	GABRA1,GABRA1	N05BA16
furafylline	non		
pzm21	non		
tretamine	non		
acetyl sulfisoxazole	approved		G01AE10
darglitazone	non		
englitazone	non		
madecassic acid	non		
beta-sitosterol	non		
erenumab	approved		N02CD01
eptinezumab	approved	CALCA,CALCB	
fremanezumab	approved	CALCA,CALCB	N02CD03
galcanezumab	approved	CALCA,CALCB	N02CD02
palmidrol	non		
hopantenic acid	non		
cholesteryl chloride	non		
dichlorobenzene	approved		
sodium zirconium cyclosilicate	approved		V03AE10
nitrate	non		
cannabidivarin	non	TRPV1,TRPV2,TRPA1	
malacidin a	non		
malacidin b	non		
asiatic acid	non		
(s)-warfarin	non		
nigericin	non		
valinomycin	non		
basifungin	non		
sc-236	non	NFKB2	
ns-398	non		
hycanthone	non	ABCB1	
concanamycin a	non	ABCB1	
dexverapamil	non	ABCB1	
emopamil	non	ABCB1	
lomerizine	non	ABCB1	
tetrandrine	non		
dofequidar	non		
dexniguldipine	non		
ont-093	non	ABCB1	
hm-30181	non	ABCB1	
desmethylsertraline	non		
reversin 121	non	ABCB1	
gondoic acid	non		
icaridin	non		
imidurea	approved		
interleukin-1 alpha, human recombinant	non		
magnesium stearate	non		
medronic acid	approved		
hydroxybutyloxide	non		
acetylcysteine magnesium	non		
asiaticoside	non		
betiatide	approved		
bisphenol a diglycidyl ether	approved		
butylparaben	approved		
cadmium	non		
cianidanol	approved		
morrhuic acid	non		
osbond acid	non		
dimercaptosuccinic acid	approved		
dimethyl sulfone	non		
