intervention_name	intervention_type	n_trials	example_trial	intervention_class	target_gene	target_gene_comments	regulatory_status	comment	priority
sham tes healthy elderly	device	1	NCT03475446						FALSE
sham tes mci	device	1	NCT03475446						FALSE
sham tms	device	2	NCT02346708	placebo					FALSE
sham tms with h2 coil	device	1	NCT00753662						FALSE
sham tms+cog	device	1	NCT02166827						FALSE
sham tpcs	device	1	NCT04054960						FALSE
sham transcranial alternating current stimulation	other	1	NCT03880240						FALSE
sham transcranial direct current stimulation	device	3	NCT02999282	placebo					TRUE
sham transcranial direct current stimulation (tdcs)	device	1	NCT03227185						FALSE
sham transcranial electric current stimulation	device	1	NCT03351452						FALSE
sham treatment	device	1	NCT02306863						FALSE
sham vielight 810 intranasal stand alone unit	device	1	NCT03551392						FALSE
sham vielight neuro gamma	other	1	NCT03405662						FALSE
sham-nice-system	device	1	NCT01168245						FALSE
sham-nippv	other	1	NCT00580593						FALSE
sham-tms	device	1	NCT03243214						FALSE
sham-tps (neurolith)	device	1	NCT04333511						FALSE
sham-yband (ydt-201n)	device	1	NCT02227953						FALSE
sheffield support snood	device	1	NCT02464852						FALSE
shotokan-karate	other	1	NCT03443752						FALSE
sidera^b	behavioral	1	NCT04041193						FALSE
sildenafil	drug	2	NCT01941732						FALSE
silicone face mask	device	1	NCT01932684						FALSE
simon task	behavioral	1	NCT00922909						FALSE
simple pamphlet about the exercise in pd	other	1	NCT01573260						FALSE
simple periodized training	other	1	NCT03867877						FALSE
simple reminiscence (sr)	behavioral	1	NCT02319681						FALSE
simulated electroconvulsive therapy (s-ect)	other	1	NCT03926520						FALSE
simvastatin	drug	7	NCT00939822	molecular	HMGCR		approved		TRUE
sinemet	drug	1	NCT03887884						FALSE
sinemet (carbidopa/levodopa)	drug	1	NCT01617135						FALSE
sinemet (comparator)	drug	1	NCT01171313						FALSE
sinemet (levodopa/carbidopa)	drug	1	NCT01070628						FALSE
sinemet 200mg/50mg	drug	1	NCT00562198						FALSE
sinemet 25/100	drug	1	NCT02763839						FALSE
sinemet cr	drug	2	NCT01470859						FALSE
sinemet cr 25mg-100mg extended-release tablet	drug	1	NCT03576638						FALSE
sinemet ir	drug	1	NCT01515410						FALSE
sinemet®	drug	5	NCT02834507						FALSE
sinemet® 100/25	drug	2	NCT03091868						FALSE
sinemet® 100/25 mg	drug	1	NCT01533077						FALSE
sinemet® cr 100/25	drug	1	NCT02169453						FALSE
singing sessions.	behavioral	1	NCT02670993						FALSE
singing therapy	other	1	NCT01163331						FALSE
single dose reduced	drug	1	NCT01424163						FALSE
single dose standard	drug	1	NCT01424163						FALSE
single photon emission computed tomography and magnetic resonance imaging	procedure	1	NCT00820937						FALSE
single task	behavioral	1	NCT03425877						FALSE
single task (st) training	behavioral	1	NCT04269590						FALSE
single task group	behavioral	1	NCT02538029						FALSE
single task training	other	1	NCT04115683						FALSE
single-blind rtc of pd patients	other	1	NCT03193268						FALSE
sirolimus	drug	10	NCT00589563						FALSE
sk-pc-b70m	drug	2	NCT01249196						FALSE
skill training condition – problem solving training	procedure	1	NCT00178165						FALSE
skill-based exercise	other	1	NCT02267785						FALSE
skills building for caregiver health and care-recipient	behavioral	1	NCT00182897						FALSE
skills training for the care of dementia patients	behavioral	1	NCT00255866						FALSE
skin biopsy	genetic	1	NCT02767037						FALSE
skin biopsy	other	1	NCT02969759						FALSE
skin biopsy	procedure	1	NCT01639391						FALSE
sleep	behavioral	1	NCT03840083						FALSE
sleep behavioral therapy a and nhms	behavioral	1	NCT01550172						FALSE
sleep behavioral therapy b and nhms	behavioral	1	NCT01550172						FALSE
sleep deprivation	behavioral	1	NCT01194713						FALSE
sleep diary	other	1	NCT04044495						FALSE
sleep education program	behavioral	1	NCT00393627						FALSE
sleep evaluations	other	1	NCT02034357						FALSE
sleep hygiene	behavioral	2	NCT02593955						FALSE
sleep hygiene education	behavioral	1	NCT01544465						FALSE
sleep intervention	behavioral	1	NCT03256539						FALSE
sleep recording	device	1	NCT02907723						FALSE
sleep study-guided adjustment of niv	other	1	NCT01363882						FALSE
slow vital capacity	other	1	NCT02424669						FALSE
slv308	drug	1	NCT00134251						FALSE
smarrt intervention	behavioral	1	NCT03683394						FALSE
smart pillbox	device	1	NCT03578991						FALSE
smartfit training	behavioral	1	NCT03921359						FALSE
smartphone personal assistant	behavioral	1	NCT03384043						FALSE
smartphone-based balance exercises	other	1	NCT04146454						FALSE
smartprompt smartphone application	behavioral	1	NCT04313582						FALSE
smr neurofeedback training to mci	behavioral	1	NCT03855319						FALSE
smt	other	1	NCT02627885						FALSE
smtap	behavioral	1	NCT02927691						FALSE
snn0029	drug	3	NCT01384162						FALSE
snn0029 infusion solution	drug	1	NCT02269436						FALSE
snn0031	drug	2	NCT00866502						FALSE
snoezelen room	other	2	NCT00548951						FALSE
snubh-nm-333(18f)	radiation	1	NCT02149017						FALSE
social activity	other	1	NCT02444078						FALSE
social adaptation	behavioral	1	NCT02893449						FALSE
social cognition	behavioral	1	NCT03052712						FALSE
social contact	other	1	NCT02267785						FALSE
social dancing	behavioral	1	NCT03475316	behavioral					TRUE
social group	behavioral	1	NCT03333837						FALSE
socio-educational training only	other	1	NCT01652222						FALSE
sodium mri	other	1	NCT02874209						FALSE
sodium oligo-mannurarate 600mg	drug	1	NCT01453569						FALSE
sodium oligo-mannurarate 900mg	drug	2	NCT01453569						FALSE
sodium oxybate	drug	2	NCT00641186						FALSE
sodium phenylbutyrate	drug	2	NCT00107770						FALSE
sodium valproate	drug	1	NCT00136110						FALSE
solanezumab	drug	8	NCT01148498	molecular	APP		investigational		TRUE
solifenacin	drug	2	NCT03149809						FALSE
solifenacin succinate (vesicare)	drug	2	NCT00584090						FALSE
solumedrol	drug	2	NCT00882895						FALSE
som3355 100mg bid	drug	1	NCT03575676	molecular	SLC18A2				FALSE
som3355 200mg bid	drug	1	NCT03575676	molecular	SLC18A2				FALSE
sonocloud®	device	1	NCT03119961						FALSE
sorbitol	drug	1	NCT04044131						FALSE
soy protein	dietary supplement	1	NCT01662414						FALSE
spaced retrieval education	behavioral	1	NCT03537729						FALSE
spaced retrieval training	behavioral	1	NCT00593372						FALSE
speaking therapy	other	1	NCT04228523						FALSE
specialist review	other	1	NCT02333175						FALSE
specialty palliative care	behavioral	1	NCT02719938						FALSE
specific sl-therapy	other	1	NCT02935842						FALSE
spect : 123 i-fp-cit (datscan) and 123i-adam	drug	1	NCT01160263						FALSE
spect imaging	device	1	NCT01931488						FALSE
spect scan	drug	1	NCT00605046						FALSE
spect-datscan	radiation	1	NCT02052947						FALSE
spectral-domain optical coherence tomography (sd-oct)	device	1	NCT03699644						FALSE
spectramax light therapy device	device	1	NCT02175472						FALSE
speech and communication therapy	behavioral	1	NCT03213873						FALSE
speech assessment	other	1	NCT03133611						FALSE
speech sound intervention	other	1	NCT02313025						FALSE
speech therapy	other	1	NCT03963388						FALSE
speech-to-noise feedback	behavioral	1	NCT03648749						FALSE
speech/articulation treatment	behavioral	1	NCT00123084						FALSE
speecheasy model itc	device	1	NCT00488657						FALSE
speechvive	device	1	NCT03700684						FALSE
speechvive device	device	1	NCT02744911						FALSE
speed of processing training (sopt)	behavioral	1	NCT02929758						FALSE
spheramine (bay86-5280)	biological	2	NCT00206687						FALSE
spinal anesthesia group: bupivacaine 10-15mg	drug	1	NCT01903421						FALSE
spinal cord stimulation	device	1	NCT03079310						FALSE
spinal cord stimulation (st jude medical)	device	1	NCT02381951						FALSE
spinal fluid collection	biological	1	NCT02770482						FALSE
spinning class	behavioral	2	NCT03833349						FALSE
spirit-in person	behavioral	1	NCT03311711						FALSE
spirit-remote	behavioral	1	NCT03311711						FALSE
split-belt treadmill training	behavioral	1	NCT03725215						FALSE
spm 962	drug	9	NCT00537485						FALSE
sport therapy	other	1	NCT02548663						FALSE
spoton balance glasses	device	1	NCT03942172						FALSE
sqjz herbal mixtures	drug	1	NCT02616120						FALSE
sr57667b	drug	4	NCT00220272						FALSE
sra-333	drug	1	NCT00151333						FALSE
sra-444	drug	2	NCT00499200						FALSE
srx246	drug	1	NCT02507284						FALSE
ssp training	behavioral	1	NCT04269577						FALSE
ssr180711c	drug	1	NCT00602680						FALSE
st101	drug	6	NCT00842816						FALSE
sta-1	drug	1	NCT01255046						FALSE
stable condition	behavioral	1	NCT02539446						FALSE
stacog, stage specific cognitive intervention	behavioral	1	NCT01329601						FALSE
stalevo	drug	4	NCT02764125						FALSE
stalevo (levodopa/ carbidopa/ entacapone)	drug	1	NCT01070628						FALSE
stalevo (levodopa/carbidopa/entacapone)	drug	1	NCT00125567						FALSE
stalevo®	drug	1	NCT02452606						FALSE
stand-up paddle rehabilitation	procedure	1	NCT03582371						FALSE
standard care	drug	1	NCT03354143						FALSE
standard care	other	3	NCT02475954						FALSE
standard care	procedure	1	NCT02152319						FALSE
standard care exercise training	behavioral	1	NCT00665184						FALSE
standard clinical care	other	1	NCT02474459						FALSE
standard csr sampling procedure	procedure	2	NCT01436188						FALSE
standard exercise	other	1	NCT03583879						FALSE
standard exercise programme	other	1	NCT03902990						FALSE
standard frequent csr sampling procedure with 800 mg ibuprofen	procedure	1	NCT01436188						FALSE
standard immunosuppressive therapy	drug	1	NCT01517984						FALSE
standard informed consent process	behavioral	1	NCT00105612						FALSE
standard initiation of niv	other	1	NCT01363882						FALSE
standard intervention	other	1	NCT03580096						FALSE
standard intervention protocol	behavioral	1	NCT00646269						FALSE
standard intervention protocol + "made-to-measure" program	behavioral	1	NCT00646269						FALSE
standard intervention protocol + cognitive training therapy	behavioral	1	NCT00646269						FALSE
standard intervention protocol + reminiscence therapy	behavioral	1	NCT00646269						FALSE
standard ld/cd	drug	1	NCT02763137						FALSE
standard light	other	1	NCT03357328						FALSE
standard locomotion treatment: straight-walking training	other	1	NCT03545477						FALSE
standard meal	other	1	NCT03551769						FALSE
standard motor rehabilitation treatment	procedure	1	NCT02306109						FALSE
standard nimv	device	1	NCT04240925						FALSE
standard nippv	device	1	NCT00116558						FALSE
standard of care	behavioral	2	NCT04048122						FALSE
standard of care	device	1	NCT02177149						FALSE
standard of care	drug	2	NCT00278525						FALSE
standard of care	other	3	NCT02533921						FALSE
standard of care	procedure	1	NCT02541617						FALSE
standard of care physical therapy	behavioral	1	NCT02606006						FALSE
standard of care placebo	drug	1	NCT03665454						FALSE
standard physical therapy	other	1	NCT03545477						FALSE
standard physical therapy (stretching/range-of-motion)	other	1	NCT01650818						FALSE
standard psychiatric scales scid-i, ybocs and sci-obs-lifetime and cognitive scalesmmse and moca	other	1	NCT01019343						FALSE
standard pulmonary function testing	device	1	NCT03214224						FALSE
standard respiratory physiotherapy	device	1	NCT00839033						FALSE
standard stimulation	device	1	NCT03496532						FALSE
standard treatment control group	behavioral	1	NCT02833311						FALSE
standard upper limb intervention	other	1	NCT02938819						FALSE
standardized cognitive training	behavioral	1	NCT02247180						FALSE
standardized scales: mds-updrs (part ii to iv) and rdrs	other	1	NCT02785978						FALSE
star-c-vtf	behavioral	1	NCT04271046						FALSE
static picture observation and lower limbs exercise	behavioral	1	NCT03475355						FALSE
static picture observation and upper limbs exercise	behavioral	1	NCT03475355						FALSE
static, dynamic and functional balance exercises	procedure	1	NCT03939559						FALSE
static, dynamic and functional balance exercises with dual task	procedure	1	NCT03939559						FALSE
stationary bike	device	1	NCT02622737						FALSE
stationary bike exercise	behavioral	1	NCT01741584						FALSE
stella (support via technology: living and learning with advancing alzheimer's disease and related dementias)	behavioral	1	NCT04335110						FALSE
stem cell	biological	2	NCT01984814						FALSE
stem cell (hpc) implantation	biological	1	NCT02943850						FALSE
stem cell infusion	biological	1	NCT02441803						FALSE
stem cell infusion	procedure	3	NCT00882895						FALSE
stem cell transplant	procedure	5	NCT00813124						FALSE
stem cell transplantation	procedure	6	NCT01494480						FALSE
stem cells	biological	1	NCT03067857						FALSE
stepping training	behavioral	1	NCT02593812						FALSE
stepping-in-place exercise with external auditory cues	behavioral	1	NCT03271736						FALSE
stereotactic surgical device	device	1	NCT02943850						FALSE
sterile acupuncture needles for single use	device	1	NCT03501004						FALSE
sterile normal saline infusion	procedure	1	NCT03297177						FALSE
steroids	drug	2	NCT00113269						FALSE
stimulation	procedure	2	NCT00902889						FALSE
stimulation group	behavioral	1	NCT01314131						FALSE
stimulation of the subthalamic nucleus	procedure	1	NCT01306539						FALSE
stimulation off	device	1	NCT02924194						FALSE
stimulation on	device	1	NCT02924194						FALSE
stimulation procedure	procedure	1	NCT01940406						FALSE
stimulator off	device	1	NCT02632279						FALSE
stimulator on	device	1	NCT02632279						FALSE
stimulus-response	behavioral	1	NCT02515136						FALSE
stn + gpi	device	1	NCT03815656						FALSE
stn alone	device	1	NCT03815656						FALSE
stn dbs	device	1	NCT02231645						FALSE
stn stimulation	other	1	NCT01267409						FALSE
stomp (skill-building through task-oriented motor practice)	behavioral	1	NCT02356055						FALSE
stool and blood analysis	other	1	NCT04159727						FALSE
story recall	behavioral	1	NCT03204604						FALSE
strategy training	behavioral	1	NCT03582670						FALSE
strattera	drug	1	NCT01340885						FALSE
strength training	behavioral	1	NCT00611481						FALSE
strength training	other	1	NCT03434327						FALSE
strengthening exercise	behavioral	1	NCT01264614						FALSE
stress busting program for family caregivers	behavioral	1	NCT00122174						FALSE
stress test (ecg)	diagnostic test	1	NCT03207373						FALSE
stretch & relaxation program	behavioral	1	NCT02288052						FALSE
stretch and strength	behavioral	1	NCT03035851						FALSE
stretch exercise	behavioral	1	NCT01021644						FALSE
stretch exercise	other	2	NCT02074215						FALSE
stretching	behavioral	4	NCT03330470						FALSE
stretching & strengthening exercises	behavioral	1	NCT01955889						FALSE
stretching and balance exercise program	behavioral	1	NCT02520232	behavioral					TRUE
stretching and mental stimulating activities	behavioral	1	NCT03313895						FALSE
stretching balance and flexibility + caregiver skills training	behavioral	1	NCT03123224						FALSE
stretching control	behavioral	1	NCT03095417	behavioral					TRUE
stretching exercise	behavioral	1	NCT02913664	behavioral					TRUE
stretching/range-of-motion	other	1	NCT01521728						FALSE
stroop test in condition dbs off	behavioral	1	NCT02786680						FALSE
stroop test in condition dbs on	behavioral	1	NCT02786680						FALSE
structural 3t mri	diagnostic test	1	NCT03912571						FALSE
structural exercise	behavioral	1	NCT02898740						FALSE
structural magnetic resonanceimaging (mri)	other	1	NCT01842919						FALSE
structural mri	device	1	NCT03694132						FALSE
structural mri	other	1	NCT01638884						FALSE
structured exercise	behavioral	1	NCT01639469						FALSE
structured lifestyle intervention	behavioral	1	NCT03688126	behavioral					TRUE
structured physical activity	behavioral	2	NCT01544465						FALSE
study device hfr0001	device	1	NCT01098565						FALSE
study of cerebrospinal fluid	biological	1	NCT00987090						FALSE
study of dysarthria in patients with huntington's disease	other	1	NCT03142217						FALSE
study supplement	dietary supplement	1	NCT03841539	behavioral					TRUE
subcutaneous apomorphine	drug	1	NCT03391882						FALSE
subcutaneous hydrocortisone 10mg	drug	1	NCT02230930						FALSE
subjective evaluation of sleep and somnolence	other	1	NCT01650454						FALSE
subjects will undergo the 123-i ibvm imaging visit	drug	1	NCT00556764						FALSE
submandibular gland biopsy	procedure	1	NCT03359226						FALSE
subthalamic nucleus	procedure	1	NCT02647372						FALSE
subthalamic nucleus (stn) stimulation	procedure	1	NCT02589925						FALSE
subthalamic stimulation	behavioral	1	NCT02704910						FALSE
subthalamo-cortical loops stimulation in a one-sided and bipolar way	other	2	NCT01284686						FALSE
subtracting cues training	behavioral	1	NCT00714571						FALSE
successful aging	behavioral	1	NCT03890861						TRUE
sudoscan and clinical assessment	device	1	NCT02767037						FALSE
sugar pill	dietary supplement	1	NCT02259049	placebo					FALSE
sugar pill	drug	4	NCT01594346	placebo					FALSE
sugar pill	other	1	NCT00359944	placebo					FALSE
sugar pill (placebo)	drug	1	NCT00912808						FALSE
suggestions	behavioral	1	NCT04151043						FALSE
sulforaphane	dietary supplement	1	NCT04213391						FALSE
sumanirole	drug	3	NCT00058838						FALSE
summit rc+s	device	1	NCT03582891						FALSE
supervised aerobic exercise	behavioral	1	NCT02741765						FALSE
supervised exercise programme	behavioral	1	NCT03923712						FALSE
supplementary neuropsychological assessment - parkinson's disease	diagnostic test	1	NCT03272230						FALSE
supplementation in vitamin d	other	1	NCT02756104						FALSE
supplementation with placebo	dietary supplement	1	NCT03330470						FALSE
support group (patient and partner)	behavioral	1	NCT02265757						FALSE
support provided by social worker	behavioral	1	NCT02626377						FALSE
supportive care	behavioral	2	NCT03335150						FALSE
supportive psychotherapy	behavioral	1	NCT02552836						FALSE
supportive therapy	behavioral	1	NCT01646333						FALSE
supressi. t-diet plus range	dietary supplement	1	NCT01192529						FALSE
surface emg	other	1	NCT02896816						FALSE
surface emg, mri and pet scan	other	1	NCT02896816						FALSE
surgical implantation	device	1	NCT01348451						FALSE
surgical infusion of aav-gad into the subthalamic nucleus	genetic	1	NCT00195143						FALSE
suspension of human autologous msc 3p in 1.5 ml	biological	1	NCT03828123						FALSE
sustiva pill	drug	1	NCT03706885						FALSE
suvn-502	drug	1	NCT02580305						FALSE
suvorexant	drug	2	NCT02750306						FALSE
swallowing and breathing exercises	other	1	NCT01420796						FALSE
swallowing exercise	other	1	NCT01420796						FALSE
swallowing quality of life questionnaire	other	1	NCT02710110						FALSE
swallowing related quality of life questionnaire	other	1	NCT02710162						FALSE
swallowing therapy	behavioral	1	NCT03470324						FALSE
symprove	other	1	NCT04140760						FALSE
symprove placebo product	other	1	NCT04140760						FALSE
symptogenic stimulation patterns	procedure	1	NCT02553525						FALSE
symptomatic treatment of als	other	1	NCT02193893						FALSE
syn120	drug	1	NCT02258152						FALSE
synchronised video-polysomnography	other	1	NCT01886131						FALSE
syntocinon	drug	1	NCT03260920						FALSE
t-817ma	drug	2	NCT00663936						FALSE
t-817ma-h	drug	1	NCT02079909						FALSE
t-817ma-l	drug	1	NCT02079909						FALSE
t-cell infusion	genetic	1	NCT01362452						FALSE
t3d-959	drug	1	NCT02560753						FALSE
tablet identical physically to active comparator containing some lactose	other	1	NCT01099332						FALSE
tablet therapy	other	1	NCT03047694						FALSE
tacrolimus	drug	35	NCT00882895						FALSE
tacrolimus (cni) withdrawal	drug	1	NCT01517984						FALSE
tacrolimus extended release oral tablet [envarsus]	drug	1	NCT03828682						FALSE
tactile stimulation glove	device	1	NCT03857867						FALSE
tactile touch	behavioral	1	NCT01734876						FALSE
tadalafil	drug	1	NCT02225548						FALSE
tai chi	behavioral	1	NCT00611481	behavioral					TRUE
tai chi	other	2	NCT02418780	behavioral					TRUE
tai chi class	other	1	NCT03563807						FALSE
tai-chi	other	1	NCT03443752						FALSE
tailored activity program	behavioral	1	NCT01892579						FALSE
tailored lighting intervention	device	2	NCT03933696						FALSE
tailored music listening intervention	behavioral	1	NCT04157244						FALSE
tailored patient family decision making	other	1	NCT01160367						FALSE
tak-071	drug	1	NCT02769065						FALSE
tak-071 placebo	drug	1	NCT02769065						FALSE
take-n-slide	behavioral	1	NCT02015806						FALSE
talampanel	drug	5	NCT00036296						FALSE
talsaclidine	drug	2	NCT02248116						FALSE
talsaclidine 12 mg	drug	1	NCT02249403						FALSE
talsaclidine 24 mg	drug	1	NCT02249403						FALSE
talsaclidine 36 mg	drug	1	NCT02249403						FALSE
talsaclidine 6 mg	drug	1	NCT02249403						FALSE
tamibarotene	drug	1	NCT01120002	molecular	RARA				FALSE
tamoxifen	drug	2	NCT01257581						FALSE
tamoxifen 40 mg daily for one year	drug	1	NCT02166944						FALSE
tandospirone citrate	drug	1	NCT03151382						FALSE
tango	behavioral	1	NCT01768832						FALSE
tango dancing	behavioral	1	NCT01388556						FALSE
tas-102	drug	1	NCT01867866						FALSE
tas-102 oral solution	drug	1	NCT01874522						FALSE
tas-102 tablets	drug	2	NCT01874522						FALSE
tas-102 with a light tracer dose of [14c] tpi	drug	1	NCT02031055						FALSE
tas-102 with a light tracer dose of [14c]ftd	drug	1	NCT02031055						FALSE
task-priority strategies	other	1	NCT03298503						FALSE
tau (18-f-av-1451)	drug	1	NCT00950430						FALSE
tau pet	procedure	1	NCT02759887						FALSE
tau pet scan	combination product	1	NCT03618186						FALSE
tau pet scan using mk-6240	drug	1	NCT03860857						FALSE
tauroursodeoxycholic acid	drug	1	NCT03800524						FALSE
tauroursodeoxycholic acid (tudca)	drug	1	NCT00877604						FALSE
tavapadon	drug	2	NCT04201093						FALSE
taïso	other	1	NCT04045925						FALSE
tbt	behavioral	1	NCT04176263						FALSE
tc-5619	drug	1	NCT01254448						FALSE
tch346	drug	3	NCT00230074						FALSE
tch346 (dibenz[b,f]oxepin-10-ylmethyl-prop-2-ynyl-amine, hydrogen maleate salt)	drug	1	NCT00407212						FALSE
td-9855	drug	1	NCT02705755						FALSE
tdcs	device	5	NCT03473522	device					FALSE
tdcs	other	2	NCT02518412	device					FALSE
tdcs + cr	other	1	NCT02386670						FALSE
tdcs associated with tcog	other	1	NCT04220593						FALSE
tele-savvy	behavioral	3	NCT03033875						FALSE
tele-yoga	other	1	NCT04240899						FALSE
telehealth exercise, speech therapy, medication management	behavioral	1	NCT03381898						FALSE
telemedicine	other	1	NCT01476306	behavioral					FALSE
telemedicine interaction	behavioral	1	NCT02744911						FALSE
telemedicine program	device	1	NCT00563745						FALSE
telephone acceptance and commitment therapy intervention for caregivers	behavioral	1	NCT04338750						FALSE
telephone remote genetic counseling	other	1	NCT02978729						FALSE
telephone support	behavioral	2	NCT00119561						FALSE
telephone support as needed	other	1	NCT02347202						FALSE
telephone-delivered mindfulness	behavioral	1	NCT04058886						FALSE
telesurveillance	other	1	NCT00613899						FALSE
telmisartan	drug	1	NCT02085265						FALSE
telmisartan 20mg	drug	1	NCT02471833	molecular	AGTR1		approved		TRUE
telmisartan 40mg	drug	1	NCT02471833	molecular	AGTR1		approved		TRUE
tenofovir alafenamide (taf)	drug	1	NCT02437110						FALSE
tens	device	1	NCT02190851						FALSE
tep	drug	1	NCT03417986						FALSE
terazosin 5 mg	drug	1	NCT03905811						FALSE
testing, evaluation, sampling	other	1	NCT02984137						FALSE
testosterone	drug	1	NCT00004771						FALSE
testosterone gel	drug	1	NCT00539305						FALSE
tetrabenazine	drug	1	NCT02509793	molecular	SLC18A2				FALSE
tetrabenazine withdrawal	drug	1	NCT01834911						FALSE
tetrahydrobiopterin	drug	1	NCT01439555						FALSE
th-cbt	behavioral	2	NCT02505737						FALSE
th9507 human growth hormone releasing hormone (ghrh)	drug	1	NCT00257712						FALSE
thalamotomy	radiation	1	NCT02585583						FALSE
thalidomide	drug	2	NCT01094340						FALSE
thalidomide (drug)	drug	1	NCT00231140						FALSE
the attention control condition	behavioral	1	NCT04179721						FALSE
the center for neurologic studies bulbar function scale	other	1	NCT02710162						FALSE
the cognishunt® system	device	1	NCT00056628						FALSE
the lawton instrumental activities of daily living score (iadl), and the disability assessment of dementia score (dad-6	other	1	NCT02302482						FALSE
the lfp beta adbs system	device	1	NCT03446833						FALSE
the other training with neurofeedback	other	1	NCT03837548						FALSE
the progressively lowered stress threshold model	other	1	NCT04305652						FALSE
the residential care transition module	behavioral	1	NCT02915939						FALSE
the resonator	device	1	NCT00779155						FALSE
the resonator control	device	1	NCT00779155						FALSE
the role of the noradrenergic system across the life span (healthy subjects)	other	1	NCT03942289						FALSE
the role of the noradrenergic system across the life span (parkinson's disease subjects)	other	1	NCT03942289						FALSE
the training by verve system	other	1	NCT01798199						FALSE
theraband training program	behavioral	1	NCT02297893						FALSE
therapeutic allogeneic lymphocytes	biological	1	NCT00448201						FALSE
therapeutic education meetings	other	1	NCT02968875						FALSE
therapeutic education program	behavioral	1	NCT01717144						FALSE
therapeutic education workshop	other	1	NCT04228523						FALSE
therapeutic educational program	behavioral	1	NCT01796314						FALSE
therapeutic immune globulin	biological	1	NCT00806767						FALSE
therapeutic lifestyles changes diet	behavioral	1	NCT03860792						FALSE
therapeutic stimulation patterns	procedure	1	NCT02553525						FALSE
therapeutic yoga for people with parkinson's disease	other	1	NCT02902510						FALSE
therapist leap session feedback	device	1	NCT03458169						FALSE
therapy light room	other	1	NCT03357328						FALSE
thermography	diagnostic test	1	NCT03094910						FALSE
theta-burst stimulation (tbs)	device	1	NCT04042532						FALSE
thiotepa	drug	3	NCT00857389						FALSE
thn 201	drug	1	NCT03698695						FALSE
thn102 dosage a	drug	1	NCT03624920						FALSE
thn102 dosage b	drug	1	NCT03624920						FALSE
thn102 dosage c	drug	1	NCT03624920						FALSE
thymatron iv device (somatics)	device	1	NCT02438202						FALSE
thymoglobulin	drug	13	NCT00813124						FALSE
thymoglobulin (atg)	drug	2	NCT00857389						FALSE
thymoglobulin®, rabbit anti-thymocyte globulin (ratg)	biological	1	NCT00542828						FALSE
tiapridal	drug	1	NCT00632645						FALSE
tideglusib	drug	3	NCT01350362						FALSE
tigan®	drug	1	NCT00489255						FALSE
tilt table test	diagnostic test	1	NCT03094910						FALSE
tim telehealth arm	other	1	NCT02464748						FALSE
timed activity intervention	behavioral	1	NCT03682185						FALSE
timed planned activity	behavioral	1	NCT01920672						FALSE
tip / impact plus care coordination	behavioral	1	NCT02742597						FALSE
tirasemtiv	drug	2	NCT02496767						FALSE
tissue implantation	procedure	1	NCT00004844						FALSE
tli	procedure	1	NCT00882895						FALSE
tms	device	2	NCT03243214						FALSE
tms , h2-coil	device	1	NCT01334450						FALSE
tms and cognitive stimulation	device	1	NCT01825330						FALSE
tms single/paired pulse	procedure	1	NCT01019343						FALSE
tms stimulation	device	1	NCT00909285						FALSE
tms, h coil	device	1	NCT01179373						FALSE
tms-eeg	procedure	1	NCT03940677						FALSE
tnm (trade name), a form of brainstem stimulation	device	1	NCT02134795						FALSE
tocilizumab	drug	1	NCT02469896						FALSE
tocotrienols	dietary supplement	1	NCT04140136						FALSE
tol101	drug	2	NCT01154387						FALSE
tolbutamide	drug	1	NCT02211079						FALSE
tolcapone	drug	2	NCT00604591						FALSE
tongue piercing	procedure	1	NCT01124292						FALSE
topiramate	drug	2	NCT01789047						FALSE
topiramate (drug)	drug	1	NCT00296959						FALSE
total body irradiation	radiation	1	NCT01509300						FALSE
total body irradiation (tbi)	radiation	5	NCT03734601						FALSE
total intravenous anesthesia with propofol	drug	1	NCT01993836						FALSE
total lymphoid irradiation	other	1	NCT01081405						FALSE
total lymphoid irradiation	radiation	4	NCT03591302						FALSE
total lymphoid irradiation (tli)	procedure	2	NCT00482053						FALSE
total lymphoid irradiation (tli)	radiation	2	NCT00568633						FALSE
total lymphoid irradiation and anti-thymocyte globulin	drug	1	NCT01566656						FALSE
total-body irradiation	radiation	2	NCT00589563						FALSE
total-body irradiation (tbi)	radiation	1	NCT01598025						FALSE
tower of hanoi	device	1	NCT01887054						FALSE
tozadenant	drug	3	NCT00605553						FALSE
tozadenant (syn115) 120 mg bid	drug	1	NCT01283594						FALSE
tozadenant (syn115) 180 mg bid	drug	1	NCT01283594						FALSE
tozadenant (syn115) 240 mg bid	drug	1	NCT01283594						FALSE
tozadenant (syn115) 60 mg bid	drug	1	NCT01283594						FALSE
tpi-287 2 mg/m2	drug	1	NCT01966666						FALSE
tpi-287 20 mg/m2	drug	1	NCT01966666						FALSE
tpi-287 6.3 mg/m2	drug	1	NCT01966666						FALSE
tps (neurolith)	device	1	NCT04333511						FALSE
tracking eye movement	device	1	NCT01495897						FALSE
tracking eye movement under deep brain stimulation	device	1	NCT01495897						FALSE
traditional chinese medicinal mixture (composed of roucongrong and adjuvant)	drug	1	NCT00629161						FALSE
traditional clinical practice	other	1	NCT04176302						FALSE
traditional evaluation instruments	behavioral	1	NCT00546767	none					TRUE
traditional physical therapy	other	1	NCT03869879						FALSE
traditional proton fmri	other	1	NCT02638519						FALSE
traditional pt rehabilitation treatment	other	1	NCT03815409						FALSE
traditional rehabilitation	other	1	NCT03212014						FALSE
traditional therapeutic exercise	behavioral	1	NCT01014663						FALSE
